GENESIS-Tabelle: 13211-0008
Arbeitslose, Arbeitslosenquoten, Gemeldete Arbeitsstellen:;;;;;;
Bundesländer, Monate;;;;;;
Arbeitsmarktstatistik der Bundesagentur für Arbeit;;;;;;
;;;Arbeitslose;Arbeitslosenquote aller zivilen Erwerbspersonen;Arbeitslosenquote d. abhängigen ziv. Erwerbspers.;Gemeldete Arbeitsstellen
;;;Anzahl;Prozent;Prozent;Anzahl
Bremen;2016;April;36884;10,8;11,9;6111
Bremen;2016;Mai;36174;10,4;11,5;6224
Bremen;2016;Juni;36366;10,5;11,5;6447
Bremen;2016;Juli;37199;10,7;11,8;6592
Bremen;2016;August;36625;10,5;11,6;6589
Bremen;2016;September;35575;10,2;11,3;6750
Bremen;2016;Oktober;34958;10,0;11,1;6978
Bremen;2016;November;34700;10,0;11,0;6736
Bremen;2016;Dezember;...;...;...;...
Hamburg;2015;Januar;75794;7,7;9,0;14245
Hamburg;2015;Februar;76078;7,8;9,0;14613
Hamburg;2015;März;74782;7,6;8,8;15028
Hamburg;2015;April;73966;7,6;8,7;15042
Hamburg;2015;Mai;73524;7,5;8,5;15198
Hamburg;2015;Juni;71967;7,3;8,3;15443
Hamburg;2015;Juli;74543;7,6;8,6;15470
Hamburg;2015;August;74250;7,5;8,6;15371
Hamburg;2015;September;72139;7,3;8,3;15355
Hamburg;2015;Oktober;71549;7,3;8,3;15365
Hamburg;2015;November;70473;7,1;8,2;15977
Hamburg;2015;Dezember;70429;7,1;8,1;15259
Hamburg;2016;Januar;74400;7,5;8,6;15035
Hamburg;2016;Februar;73846;7,5;8,5;14902
Hamburg;2016;März;73049;7,4;8,5;14911
Hamburg;2016;April;71939;7,3;8,3;14934
Hamburg;2016;Mai;70694;7,0;8,0;14946
Hamburg;2016;Juni;69077;6,9;7,8;15168
Hamburg;2016;Juli;70383;7,0;8,0;15465
Hamburg;2016;August;71237;7,1;8,1;15992
Hamburg;2016;September;69479;6,9;7,9;16390
Hamburg;2016;Oktober;68476;6,8;7,8;16855
Hamburg;2016;November;67726;6,8;7,7;17025
Hamburg;2016;Dezember;...;...;...;...
Hessen;2015;Januar;189719;5,9;6,6;35772
